Fid,Protocol,Flag,Packet,Sender ID,Receiver ID,Source IP Address,Destination IP Address,Source Port,Destination Port,Packet Size,Label,Url
10.152.152.11-10.152.152.10-43522-53-17,TCP,SYN,HTTP,123456,987654,192.168.0.1,10.0.0.5,12345,80,1024,1,https://www.nationalartcraft.com//
104.18.45.219-10.152.152.11-80-45523-6,UDP,ACK,DNS,987654,123456,10.0.0.2,192.168.0.1,53,12345,512,1,http://amv.org.mx/royalslider/skins/info.php
10.152.152.11-10.152.152.10-54279-53-17,TCP,SYN,SSH,789012,345678,192.168.1.10,10.0.0.8,22,12345,256,0,https://sdek.msk.ru
62.67.193.61-10.152.152.11-80-36541-6,UDP,ACK,NTP,345678,789012,10.0.0.5,192.168.1.10,123,12345,128,1,https://xh36954689734987348098.el.r.appspot.com/wp-content/xp.php
10.152.152.11-10.152.152.10-60812-53-17,TCP,RST,FTP,234567,456789,192.168.0.5,10.0.0.10,20,12345,2048,0,https://www.open-electronics.org/10-of-the-most-incredible-open-source-hardware-projects-born-in-2013/
10.152.152.11-10.152.152.10-52278-53-17,UDP,ACK,SNMP,456789,234567,10.0.0.8,192.168.0.5,161,12345,768,1,https://wzplh.app.link/e2WxrTBLm4
10.152.152.11-10.152.152.10-41788-53-17,TCP,FIN,HTTPS,890123,567890,192.168.1.5,10.0.0.2,443,12345,4096,0,http://www.byggmakkerpluss.no/
10.152.152.11-10.152.152.10-53319-53-17,UDP,ACK,DHCP,567890,890123,10.0.0.10,192.168.1.5,67,12345,256,1,http://spiritofmambo.fr/szezln.html
10.152.152.11-10.152.152.10-35003-53-17,TCP,SYN,SMTP,901234,678901,192.168.0.2,10.0.0.15,25,12345,512,1,https://wh494528.ispot.cc/updateaddress.php
173.194.112.122-10.152.152.11-80-52249-6,UDP,ACK,SNMP,678901,901234,10.0.0.15,192.168.0.2,161,12345,256,0,https://www.bolsadoconsorcio.com.br/logos_pre_cadastro/signin/customer_center/customer_Case=IDPP00C282/myaccount/signin
